From URL,To URL,Redirect Status,Redirect Language
selfstudy,http://wikis.evergreen.edu/selfstudy/index.php/Evergreen_2008_Self-Study,,
copred,http://www.peacejusticestudies.org,,
stephaniecoontz,http://www.stephaniecoontz.com,,
ir/alumni14,http://www3.evergreen.edu/institutionalresearch/surveys/alumni14.htm,,
ir/alumnisurvey,http://www3.evergreen.edu/institutionalresearch/surveys/alumni16.htm,,
ir/diversity,http://www3.evergreen.edu/institutionalresearch/surveys/diversity.htm,,
ir/nonretainedstudentsurvey,http://www3.evergreen.edu/institutionalresearch/surveys/nonretainedstudentsurvey.htm,,
ir/nss2014,http://www3.evergreen.edu/institutionalresearch/surveys/nss2016.htm,,
ir/nss2016,http://www3.evergreen.edu/institutionalresearch/surveys/nss2016.htm,,
ir/facultysurvey,http://www3.evergreen.edu/institutionalresearch/surveys/oweekfacultysurvey.htm,,
ir/studentsurvey,http://www3.evergreen.edu/institutionalresearch/surveys/oweekstudentsurvey.htm,,
ir/president,http://www3.evergreen.edu/institutionalresearch/surveys/president.htm,,
ir/provost2016,http://www3.evergreen.edu/institutionalresearch/surveys/provost2016.htm,,
ses,http://www3.evergreen.edu/institutionalresearch/surveys/ses.htm,,
ir/snaap,http://www3.evergreen.edu/institutionalresearch/surveys/snaap.htm,,
ir/surp2013,http://www3.evergreen.edu/institutionalresearch/surveys/surp2013.htm,,
ir/transcript,http://www3.evergreen.edu/institutionalresearch/surveys/transcript.htm,,
annualfund2016,https://commerce.cashnet.com/givetoevergreen?itemcode=ALUMNI-EAF,,
electronicmedia/productionrequestform,https://forms.evergreen.edu/production-request-form,,
incidentreport,https://forms.evergreen.edu/report-incident,,
policeservices/incident,https://forms.evergreen.edu/report-incident,,
mit/2017/oea1,https://issuu.com/todaysoea/docs/toea_fall2015_final,,
mit/2017/oea3,https://issuu.com/todaysoea/docs/toea_spring16_v4_web,,
mit/2017/oea2,https://issuu.com/todaysoea/docs/toea_winter2016_final,,
mit/2017/video,https://www.youtube.com/watch?v=L0M0yXXzZ3E,,
epr,https://www3.evergreen.edu/institutionalresearch/surveys/endofprogram.htm,,
employment/benefits,humanresources/home,,
employment/forms-procedures,humanresources/home,,
employment/workplace-posters,humanresources/home,,
employment/leave,humanresources/leave,,
employment/timeandleave,humanresources/timesheets,,
employment/timesheets,humanresources/timesheets,,
employment/training,humanresources/training,,
employment/unioncontract,humanresources/union-contract,,
employment/wellness,humanresources/wellness,,
images,img,,
individualstudy/internshipinformation,individualstudy/fieldsupervisorguidelines,,
ir/5-10-15.pdf,institutionalresearch/pdf/Surveys/alumni/5-10-15alumni2012.pdf,,
ecei,k12outreach,,
qrc,mathcenter,,
news/archive/2012/03/closure,news/weatherdelays,,
business/payroll,payroll,,
expressions,performingarts,,
president/internalauditor,president/ethics,,
presidentsearch,president/home,,
business/purchasing,purchasing/home,,
reccenter,recreation,,
advising/academic-fairs,registration/academic-fairs,,
advising/degrees,registration/degrees,,
advising/register-spring.htm,registration/how-to,,
transcripts,registration/transcript,,
classschedules,schedules,,
scholarships/scholarships/home,scholarships/home,,
scholarships/martin,scholarships/scholarships/martin,,
scholarships/purce,scholarships/scholarships/purce,,
scholarships/skov,scholarships/scholarships/skov,,
tuition,financialservices/tuition,,
areasofstudy,studies,,
fieldsofstudy,studies,,
gothere,studyabroad/home,,
marketingcommunications/guidelines,styleguide,,
csi,sustainableinfrastructure,,
computing,technology,,
phones,telecom,,
map,tour,,
maps,tour,,
tours,tour,,
upwardbound,trio/upwardbound,,
key,trio,,
watep,trio,,
provost/wacla,wacla,,
washcenter,washingtoncenter,,
